Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric ,14-Mar,3:15:22 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,3:16:13 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,3:17:11 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:17:53 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,3:18:17 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,3:18:22 PM,,1,,,1,,,,Man stares up at Waldo while someone else walks OUT
Doorway W1,Eric ,14-Mar,3:18:53 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:19:08 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,3:19:31 PM,,,,,,1,,,
Doorway W1,Eric,14-Mar,3:20:24 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:20:25 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,3:21:58 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:23:21 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,3:25:28 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:25:33 PM,,,,,1,,,,
Doorway W1,Eric,14-Mar,3:29:41 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:38:09 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:56:26 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:58:44 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:01:31 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:02:09 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:03:48 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:04:03 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:04:19 PM,1,1,,,,,,,One person walked in the IN direction and one person walked in the OUT direction
Doorway W1,Eric ,14-Mar,4:04:24 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:04:31 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:04:48 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:08:02 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:11:41 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:13:36 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:15:50 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:16:48 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:16:53 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:17:19 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:17:33 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:17:46 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:18:11 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:18:27 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:18:39 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:18:55 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:19:08 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:19:13 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:19:23 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:19:36 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:19:50 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:20:03 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:20:20 PM,1,,,,,,,,
Doorway W1,Eric,14-Mar,4:20:32 PM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,4:20:43 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:20:54 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:21:13 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:21:28 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:39:49 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:40:02 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:40:28 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:40:46 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:41:19 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:41:36 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:42:06 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:42:21 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:43:09 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:43:22 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:43:48 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:44:03 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,4:53:30 PM,,1,,,,,,,
Doorway W1,Eric,14-Mar,4:54:12 PM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,5:02:06 PM,,1,,,,,,,
