LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,86,1900-03-19 10:12:47,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,87,1900-03-19 10:16:08,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,88,1900-03-19 10:16:28,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,89,1900-03-19 10:33:32,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,90,1900-03-19 10:57:02,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,91,1900-03-19 11:42:29,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,92,1900-03-19 11:43:09,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,93,1900-03-19 11:51:31,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,94,1900-03-19 12:02:02,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,95,1900-03-19 12:06:09,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,96,1900-03-19 12:27:56,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,97,1900-03-19 12:28:44,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,98,1900-03-19 12:28:50,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,99,1900-03-19 12:31:19,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,100,1900-03-19 12:33:35,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,101,1900-03-19 12:33:44,0,1,0,1,0,0,0,0
Null,0,,,,,,,,,,,102,1900-03-19 12:33:48,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,103,1900-03-19 12:34:30,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,104,1900-03-19 12:34:40,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,105,1900-03-19 12:34:50,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,106,1900-03-19 12:35:00,0,0,0,1,0,0,0,0
