Nicole,1, out, hallway_out,1,196,195,0,158,158,1,38
Nicole,1, out, hallway_out,1,71,70,0,43,43,1,28
Nicole,1, out, hallway_out,1,119,118,1,169,168,0,50
Nicole,1, out, hallway_out,1,77,76,0,178,178,1,101
Nicole,1, out, hallway_out,1,142,141,0,90,90,1,52
Nicole,1, out, hallway_out,1,75,74,0,188,188,1,113
Nicole,1, out, hallway_out,1,186,185,0,218,218,1,32
Nicole,1, out, hallway_out,1,172,171,0,137,137,1,35
Nicole,1, out, hallway_out,1,86,85,0,208,208,1,122
Nicole,1, out, hallway_out,1,244,243,0,246,246,1,2
Nicole,1, out, hallway_out,1,222,221,0,197,197,1,25
Nicole,1, out, hallway_out,1,196,195,0,147,147,1,49
Nicole,1, out, hallway_out,1,94,93,0,59,59,1,35
Nicole,1, out, hallway_out,1,8,7,0,93,93,1,85
Nicole,1, out, hallway_out,1,242,241,0,57,57,1,185
Nicole,1, out, hallway_out,1,87,86,0,7,7,1,80
Nicole,1, out, hallway_out,1,85,84,0,60,60,1,25
Jeff,2, in, office_in,224,83,115,0,141,141,224,58
Jeff,2, in, office_in,43,158,115,0,219,219,43,61
Jeff,2, in, office_in,203,151,204,1,246,245,202,95
Jeff,2, in, office_in,50,76,26,1,113,112,49,37
Jeff,2, in, office_in,187,188,1,0,243,243,187,55
Jeff,2, in, office_in,186,166,236,0,243,243,186,77
Jeff,2, in, office_in,217,162,201,0,219,219,217,57
Jeff,2, in, office_in,192,175,239,0,247,247,192,72
Jeff,2, in, office_in,165,93,184,0,232,232,165,139
Jeff,2, in, office_in,164,92,184,0,189,189,164,97
Jeff,2, in, office_in,32,173,141,0,97,97,32,76
Jeff,2, in, office_in,137,123,242,0,73,73,137,50
Jeff,2, in, office_in,192,76,140,0,13,13,192,63
Jeff,2, in, office_in,174,4,86,0,205,205,174,201
Jeff,2, in, office_in,102,227,125,1,181,180,101,46
Jeff,2, in, office_in,226,234,8,0,171,171,226,63
Jeff,2, in, office_in,27,35,8,0,180,180,27,145
Jeff,2, in, office_in,176,59,139,1,130,129,175,71
Jeff,2, in, office_in,58,196,138,0,255,255,58,59
Jeff,2, in, office_in,107,98,247,0,136,136,107,38
Jeff,2, in, office_in,102,226,124,0,153,153,102,73
Jeff,2, in, office_in,35,90,55,0,247,247,35,157
Nicole,2, in, office_in,118,231,113,1,59,58,117,172
Nicole,2, in, office_in,188,119,187,0,10,10,188,109
Nicole,2, in, office_in,162,211,49,0,136,136,162,75
Nicole,2, in, office_in,228,112,140,0,38,38,228,74
Nicole,2, in, office_in,117,186,69,0,193,193,117,7
Nicole,2, in, office_in,107,119,12,0,61,61,107,58
Nicole,2, in, office_in,167,251,84,0,151,233,167,100
Nicole,2, in, office_in,118,168,50,0,253,253,118,85
Nicole,2, in, office_in,118,245,127,0,48,48,118,197
Nicole,2, in, office_in,4,91,87,0,168,168,4,77
Nicole,2, in, office_in,111,26,171,0,164,164,111,138
Nicole,2, in, office_in,118,100,238,1,172,171,117,72
Nicole,2, in, office_in,5,232,227,0,157,157,5,75
Nicole,2, in, office_in,174,157,239,0,202,202,174,45
Nicole,2, in, office_in,253,53,56,0,50,50,253,3
Nicole,2, in, office_in,122,213,91,0,139,139,122,74
Nicole,2, in, office_in,5,135,130,0,64,64,5,71
Nicole,2, in, office_in,231,178,203,0,139,139,231,39
Nicole,2, in, office_in,242,210,224,0,136,136,242,74
Nicole,2, in, office_in,2,253,251,0,68,68,2,185
Nicole,2, in, office_in,222,130,164,0,156,156,222,26
Jeff,2, out, office_out,1,10,9,0,103,103,1,93
Jeff,2, out, office_out,0,239,231,0,252,136,0,13
Jeff,2, out, office_out,0,31,31,1,131,130,1,100
Jeff,2, out, office_out,1,70,69,1,52,51,0,18
Jeff,2, out, office_out,1,57,56,1,230,229,0,173
Jeff,2, out, office_out,1,152,151,0,203,203,1,51
Jeff,2, out, office_out,1,15,14,0,96,96,1,81
Jeff,2, out, office_out,0,157,157,1,162,161,1,5
Jeff,2, out, office_out,0,144,144,1,104,103,1,40
Jeff,2, out, office_out,1,60,59,0,95,95,1,35
Jeff,2, out, office_out,1,203,202,0,44,44,1,159
Jeff,2, out, office_out,1,209,208,0,135,135,1,74
Jeff,2, out, office_out,1,33,32,0,103,103,1,70
Jeff,2, out, office_out,1,134,133,0,114,114,1,20
Jeff,2, out, office_out,1,65,64,0,45,45,1,20
Jeff,2, out, office_out,1,79,78,0,106,106,1,27
Jeff,2, out, office_out,1,174,173,1,255,254,0,81
Jeff,2, out, office_out,1,42,41,0,141,141,1,99
Jeff,2, out, office_out,1,13,12,1,62,61,0,49
Jeff,2, out, office_out,1,53,52,1,131,130,0,78
Nicole,2, out, office_out,1,244,243,0,206,206,1,38
Nicole,2, out, office_out,0,101,101,1,80,79,1,21
Nicole,2, out, office_out,1,151,150,1,20,19,0,131
Nicole,2, out, office_out,1,167,166,0,37,37,1,130
Nicole,2, out, office_out,1,153,152,0,115,115,1,38
Nicole,2, out, office_out,1,248,247,0,225,225,1,23
Nicole,2, out, office_out,1,53,52,0,103,103,1,50
Nicole,2, out, office_out,1,56,55,0,170,170,1,114
Nicole,2, out, office_out,1,54,53,0,158,158,1,104
