LabelType,TimeDiff,BSidx,BSrecord#,Date,Time,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,Date,Time,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,,,,,,,,,,,,118,14-Mar,9:31:00 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,119,14-Mar,9:32:27 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,120,14-Mar,9:32:38 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,121,14-Mar,9:32:51 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,122,14-Mar,9:35:23 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,123,14-Mar,9:38:02 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,124,14-Mar,9:38:12 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,125,14-Mar,9:38:25 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,126,14-Mar,9:38:41 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,127,14-Mar,9:38:52 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,128,14-Mar,9:39:04 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,129,14-Mar,9:39:16 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,130,14-Mar,9:39:29 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,131,14-Mar,9:39:41 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,132,14-Mar,9:39:50 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,133,14-Mar,9:53:09 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,134,14-Mar,9:53:19 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,135,14-Mar,9:53:31 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,136,14-Mar,9:53:44 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,137,14-Mar,9:54:05 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,138,14-Mar,9:54:18 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,139,14-Mar,9:54:30 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,140,14-Mar,9:54:42 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,141,14-Mar,9:54:54 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,142,14-Mar,9:55:07 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,143,14-Mar,9:57:58 AM,0,0,0,1,0,0,0,0
CONFIRMED,7.0,3,1,14-Mar,10:00:31 AM,4,Valid,5,1,1,3,144,14-Mar,10:00:38 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,145,14-Mar,10:04:54 AM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,146,14-Mar,10:05:05 AM,0,0,0,1,0,0,0,0
CONFIRMED,6.0,4,2,14-Mar,10:05:41 AM,5,Valid,5,2,0,3,147,14-Mar,10:05:35 AM,0,0,0,0,0,1,0,0
Null,,,,,,,,,,,,148,14-Mar,10:06:11 AM,1,0,0,0,0,0,0,0
CONFIRMED,3.0,5,4,14-Mar,10:08:26 AM,6,Valid,5,1,1,3,149,14-Mar,10:08:23 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,150,14-Mar,10:08:36 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,151,14-Mar,10:08:43 AM,0,0,0,0,0,0,0,1
Null,,,,,,,,,,,,152,14-Mar,10:09:09 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,153,14-Mar,10:09:15 AM,0,0,0,0,0,0,1,0
Null,,,,,,,,,,,,154,14-Mar,10:09:23 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,155,14-Mar,10:09:32 AM,0,0,0,1,0,0,0,0
CONFIRMED,4.0,6,7,14-Mar,10:09:47 AM,0,Valid,5,1,3,1,156,14-Mar,10:09:51 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,157,14-Mar,10:10:35 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,158,14-Mar,10:10:37 AM,0,0,0,0,1,0,0,0
Null,,,,,,,,,,,,159,14-Mar,10:11:12 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,160,14-Mar,10:11:49 AM,0,0,0,0,1 (90 seconds),0,0,0
CONFIRMED,0.0,7,10,14-Mar,10:13:23 AM,0,Valid,5,0,3,2,161,14-Mar,10:13:23 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,162,14-Mar,10:13:30 AM,0,0,0,0,1 (60 seconds),0,0,0
Null,,,,,,,,,,,,163,14-Mar,10:14:42 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,164,14-Mar,10:15:02 AM,1,0,0,0,0,0,0,0
CONFIRMED,1.0,8,11,14-Mar,10:15:16 AM,0,Valid,5,3,2,0,165,14-Mar,10:15:15 AM,0,0,1,0,0,0,0,0
Null,,,,,,,,,,,,166,14-Mar,10:15:57 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,167,14-Mar,10:16:02 AM,1,0,0,0,0,0,0,0
CONFIRMED,16.0,9,12,14-Mar,10:16:23 AM,1,Valid,5,2,1,2,168,14-Mar,10:16:07 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,169,14-Mar,10:17:07 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,170,14-Mar,10:17:12 AM,1,0,0,0,0,0,0,0
CONFIRMED,4.0,10,13,14-Mar,10:18:17 AM,2,Valid,5,2,1,2,171,14-Mar,10:18:13 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,172,14-Mar,10:19:09 AM,0,0,0,0,1 (60 seconds),0,0,0
Null,,,,,,,,,,,,173,14-Mar,10:23:15 AM,0,0,0,0,0,0,1,0
Null,,,,,,,,,,,,174,14-Mar,10:23:22 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,175,14-Mar,10:23:26 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,176,14-Mar,10:23:21 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,177,14-Mar,10:23:56 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,178,14-Mar,10:24:10 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,179,14-Mar,10:24:25 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,180,14-Mar,10:25:08 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,181,14-Mar,10:25:38 AM,0,0,0,0,1 (30 seconds),0,0,0
Null,,,,,,,,,,,,182,14-Mar,10:26:16 AM,1,0,0,0,0,0,0,0
Null,,,,,,,,,,,,183,14-Mar,10:26:24 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,184,14-Mar,10:26:35 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,185,14-Mar,10:26:53 AM,0,0,1,0,0,0,0,0
CONFIRMED,1.0,12,16,14-Mar,10:27:24 AM,0,Valid,5,0,2,3,186,14-Mar,10:27:23 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,187,14-Mar,10:27:28 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,188,14-Mar,10:28:15 AM,0,1,0,0,0,0,0,0
Null,,,,,,,,,,,,189,14-Mar,10:28:37 AM,0,0,0,1,0,0,0,0
Null,,,,,,,,,,,,190,14-Mar,10:30:30 AM,0,0,0,1,0,0,0,0
