Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
Doorway W1,Eric ,14-Mar,1:24:08 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,1:24:25 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,1:32:38 AM,,1,,,,,,,Nicole making adjustments to Waldo
Doorway W1,Eric,14-Mar,2:23:17 AM,,1,,,,,,,*
Doorway W1,Eric ,14-Mar,2:23:28 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:24:15 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:24:34 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:25:13 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,2:25:33 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,2:26:45 AM,1,,,,,,,,*
Doorway W1,Eric ,14-Mar,2:31:41 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,2:31:57 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:00:36 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:00:56 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:02:13 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:02:32 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:03:06 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:03:22 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:10:32 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:10:49 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:11:30 AM,,,,1,,,,,Nicole stutter steps into frame then steps out
Doorway W1,Eric,14-Mar,3:11:42 AM,,1,,,,,,,Nicole walks under waldo then back tracks
Doorway W1,Eric ,14-Mar,3:11:56 AM,,1,,,,,,,*
Doorway W1,Eric,14-Mar,3:12:14 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:12:31 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:12:58 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,3:13:06 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,3:13:17 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,7:04:23 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,7:44:11 AM,,1,,,,,,,Random people pass thorgh waldo
Doorway W1,Eric ,14-Mar,7:44:51 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,7:55:50 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,7:56:55 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,8:07:38 AM,,,,,1,,,,
Doorway W1,Eric ,14-Mar,8:13:17 AM,,,,,1,,,,Janitor stands under waldo while working
Doorway W1,Eric,14-Mar,8:13:43 AM,,1,,,,,,,person walks under waldo while janitor stands under waldo
Doorway W1,Eric ,14-Mar,8:15:00 AM,1,,,,,,,,Janitor leaves from standing under waldo from long period of time
Doorway W1,Eric,14-Mar,8:19:28 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,8:29:05 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,8:40:58 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,8:42:37 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,8:43:52 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,8:44:31 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,8:44:42 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,8:44:56 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,8:45:06 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,8:45:19 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,8:57:52 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,8:59:20 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:00:41 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:01:27 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:03:38 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:05:29 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:08:16 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:11:02 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:13:36 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:14:37 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:16:23 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:18:27 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:28:11 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,9:28:48 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:21:42 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,9:22:27 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:22:30 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,9:22:47 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:23:13 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:23:46 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:24:22 AM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,9:24:47 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:24:52 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:25:28 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:25:31 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:26:47 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:27:07 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:27:28 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:27:26 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:27:28 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:27:43 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:27:53 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:28:06 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:28:24 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:28:29 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,9:29:19 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:38:54 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:31:32 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:31:37 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:31:43 AM,1,,,,,,,,
Doorway W1,Eric,14-Mar,9:32:32 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,9:35:19 AM,,,,,1,,,,Guy stands under and looks up at waldo
Doorway W1,Eric,14-Mar,9:58:08 AM,,,,,,1,,,
Doorway W1,Eric ,14-Mar,9:58:13 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,9:58:37 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,9:58:44 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:04:51 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:05:15 AM,,,,1,,,,,
Doorway W1,Eric,14-Mar,10:08:42 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:08:47 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:09:02 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:09:06 AM,,1,,,,,,,
Doorway W1,Eric,14-Mar,10:09:18 AM,,1,,,,,,,
Doorway W1,Eric ,14-Mar,10:10:30 AM,,,,,,,1,,
Doorway W1,Eric,14-Mar,10:11:10 AM,1,,,,,,,,
Doorway W1,Eric ,14-Mar,10:15:30 AM,,1,,,,,,,
