Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments,,,,,,,,,,,,,,
,,3/14,9:39:50 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,9:53:09 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:53:19 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:53:31 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:53:44 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:54:05 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:54:18 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:54:30 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:54:42 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:54:54 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:55:07 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,9:57:58 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:00:38 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:04:54 AM,,,,,1,,,,,,,,,,,,,,,,,,
,,3/14,10:05:05 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:05:35 AM,,,,,,1,,,,,,,,,,,,,,,,,
,,3/14,10:06:11 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:08:23 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:08:36 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:08:43 AM,,,,,,,,1,,,,,,,,,,,,,,,
,,3/14,10:09:09 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:09:15 AM,,,,,,,1,,,,,,,,,,,,,,,,
,,3/14,10:09:23 AM,,1,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:09:32 AM,,,,1,,,,,,,,,,,,,,,,,,,
,,3/14,10:09:51 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:10:35 AM,1,,,,,,,,,,,,,,,,,,,,,,
,,3/14,10:10:37 AM,,,,,1,,,,,,,,,,,,,,,,,,
