Doorway,Reviewer,Date,Event Time,Ins,Outs,Passby_near,Passby_far,Linger,Multi(IN),Multi(OUT),Multi(Passby),Comments
W0,Kacie,14-Mar,10:26:53 AM,,,1,,,,,,
W0,Kacie,14-Mar,10:27:23 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:27:28 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:28:15 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:28:37 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:30:30 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:30:40 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:30:49 AM,,,,,,,,1,
W0,Kacie,14-Mar,10:30:57 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:31:01 AM,,,,,,,,1,
W0,Kacie,14-Mar,10:31:08 AM,,,,,,,,1,
W0,Kacie,14-Mar,10:31:24 AM,,,,,,,,1,
W0,Kacie,14-Mar,10:31:44 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:31:50 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:31:55 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:32:03 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:32:11 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:34:30 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:34:40 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:35:05 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:43:32 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:43:39 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:43:45 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:48:12 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:49:10 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:49:54 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:50:44 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:50:52 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:51:32 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:51:43 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:51:58 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:53:46 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:53:55 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:54:47 AM,,1,,,,,,,
W0,Kacie,14-Mar,10:55:16 AM,,,1,,,,,,
W0,Kacie,14-Mar,10:58:24 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:58:33 AM,,,,1,,,,,
W0,Kacie,14-Mar,10:58:36 AM,1,,,,,,,,
W0,Kacie,14-Mar,10:59:34 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:00:53 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:01:25 AM,,,,,,1,,,
W0,Kacie,14-Mar,11:01:42 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:01:45 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:02:31 AM,,,1,,,,,,
W0,Kacie,14-Mar,11:03:54 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:04:42 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:04:53 AM,,,1,,,,,,
W0,Kacie,14-Mar,11:05:54 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:06:29 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:07:05 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:07:19 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:12:05 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:15:40 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:16:07 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:16:27 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:18:08 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:23:42 AM,,,1,,,,,,
W0,Kacie,14-Mar,11:26:31 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:31:09 AM,,,,,1 (50 seconds),,,,
W0,Kacie,14-Mar,11:32:05 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:33:18 AM,,,,,1 (10 seconds),,,,
W0,Kacie,14-Mar,11:34:03 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:37:03 AM,,,,,,1,,,
W0,Kacie,14-Mar,11:37:27 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:37:40 AM,,,,,,,,1,
W0,Kacie,14-Mar,11:38:22 AM,,,,1,,,1,,two people walked outand someone passed by at the same time
W0,Kacie,14-Mar,11:38:34 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:46:03 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:58:04 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:58:52 AM,,,,1,,,,,Arwa goes to desk but doesnt completley pass by the camerea
W0,Kacie,14-Mar,11:59:49 AM,,,,1,,,,,
W0,Kacie,14-Mar,12:00:03 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:00:54 PM,,1,,,,,,,
W0,Kacie,14-Mar,12:01:05 PM,,,,,1,,,,nicole working on waldo
W0,Kacie,14-Mar,12:01:11 PM,1,,,,,,,,
W0,Kacie,14-Mar,12:01:20 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:01:26 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:01:57 PM,,,,,,,,1,
W0,Kacie,14-Mar,12:02:05 PM,,1,,,,,,,
W0,Kacie,14-Mar,11:18:09 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:23:49 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:26:31 AM,1,,,,,,,,
W0,Kacie,14-Mar,11:31:11 AM,,,,,1,,,,Nicole standing in the doorway
W0,Kacie,14-Mar,11:32:06 AM,,1,,,,,,,
W0,Kacie,14-Mar,11:33:32 AM,,,1,,1,,,,Arwa standing close lingering nearby WALDO for a long period of time
W0,Kacie,14-Mar,11:43:03 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:37:04 AM,,,,,,1,,,Two people walking in at the same time
W0,Kacie,14-Mar,11:37:27 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:37:42 AM,,,,,,,,1,
W0,Kacie,14-Mar,11:38:27 AM,,,,,,,1,1,Two people walked out while multpile people passed by waldo
W0,Kacie,14-Mar,11:50:55 AM,,,,1,,,,,
W0,Kacie,14-Mar,11:59:52 AM,,,1,,,,,,
W0,Kacie,14-Mar,12:00:09 PM,,1,,,,,,,Dr. Sorber stopped in doorframe as he was walking out
W0,Kacie,14-Mar,12:00:54 PM,,1,,,,,,,
