Missing,,,14-Mar,9:53:44 AM,1,,,,,,,,
Missing,,,14-Mar,9:54:05 AM,,1,,,,,,,
Missing,,,14-Mar,9:54:18 AM,1,,,,,,,,
Missing,,,14-Mar,9:54:30 AM,,1,,,,,,,
Missing,,,14-Mar,9:54:42 AM,1,,,,,,,,
Missing,,,14-Mar,9:54:54 AM,,1,,,,,,,
Missing,,,14-Mar,9:55:07 AM,1,,,,,,,,
Missing,,,14-Mar,9:57:58 AM,,,,1,,,,,
FP,1-3,1,,10:00:31 AM,,,,,,,,,
Missing,,,14-Mar,10:00:38 AM,,,,1,,,,,
Missing,,,14-Mar,10:04:54 AM,,,,,1,,,,
Missing,,,14-Mar,10:05:05 AM,,,,1,,,,,
CONFIRMED,4,2,14-Mar,10:05:35 AM,,,,,,1,,,
Missing,,,14-Mar,10:06:11 AM,1,,,,,,,,
CONFIRMED,5,4,14-Mar,10:08:23 AM,,1,,,,,,,
Missing,,,14-Mar,10:08:36 AM,1,,,,,,,,
Missing,,,14-Mar,10:08:43 AM,,,,,,,,1,
Missing,,,14-Mar,10:09:09 AM,1,,,,,,,,
Missing,,,14-Mar,10:09:15 AM,,,,,,,1,,
Missing,,,14-Mar,10:09:23 AM,,1,,,,,,,
CONFIRMED,6,7,14-Mar,10:09:32 AM,,,,1,,,,,
Missing,,,14-Mar,10:09:51 AM,1,,,,,,,,
Missing,,,14-Mar,10:10:35 AM,1,,,,,,,,
Missing,,,14-Mar,10:10:37 AM,,,,,1,,,,
Missing,,,14-Mar,10:11:12 AM,,1,,,,,,,
Missing,,,14-Mar,10:11:49 AM,,,,,1 (90 seconds),,,,
CONFIRMED,7,10,14-Mar,10:13:23 AM,,1,,,,,,,
Missing,,,14-Mar,10:13:30 AM,,,,,1 (60 seconds),,,,
Missing,,,14-Mar,10:14:42 AM,,1,,,,,,,
Missing,,,14-Mar,10:15:02 AM,1,,,,,,,,
CONFIRMED,8,11,14-Mar,10:15:15 AM,,,1,,,,,,
Missing,,,14-Mar,10:15:57 AM,1,,,,,,,,
Missing,,,14-Mar,10:16:02 AM,1,,,,,,,,
CONFIRMED,9,12,14-Mar,10:16:07 AM,1,,,,,,,,
Missing,,,14-Mar,10:17:07 AM,,,,1,,,,,
Missing,,,14-Mar,10:17:12 AM,1,,,,,,,,
CONFIRMED,10,13,14-Mar,10:18:13 AM,,,,1,,,,,
Missing,,,14-Mar,10:19:09 AM,,,,,1 (60 seconds),,,,
FP,11,15,,10:20:10 AM,,,,,,,,,
Missing,,,14-Mar,10:23:15 AM,,,,,,,1,,
Missing,,,14-Mar,10:23:22 AM,1,,,,,,,,
Missing,,,14-Mar,10:23:26 AM,,1,,,,,,,
Missing,,,14-Mar,10:23:21 AM,,1,,,,,,,
Missing,,,14-Mar,10:23:56 AM,1,,,,,,,,
Missing,,,14-Mar,10:24:10 AM,,1,,,,,,,
Missing,,,14-Mar,10:24:25 AM,1,,,,,,,,
Missing,,,14-Mar,10:25:08 AM,,1,,,,,,,
Missing,,,14-Mar,10:25:38 AM,,,,,1 (30 seconds),,,,someone working at table in the corner
Missing,,,14-Mar,10:26:16 AM,1,,,,,,,,
Missing,,,14-Mar,10:26:24 AM,,,,1,,,,,
Missing,,,14-Mar,10:26:35 AM,,,,1,,,,,
Missing,,,14-Mar,10:26:53 AM,,,1,,,,,,
CONFIRMED,12,16,14-Mar,10:27:23 AM,,,,1,,,,,
Missing,,,14-Mar,10:27:28 AM,,,,1,,,,,
Missing,,,14-Mar,10:28:15 AM,,1,,,,,,,
Missing,,,14-Mar,10:28:37 AM,,,,1,,,,,
FP,13,18,,10:30:05 AM,,,,,,,,,
Missing,,,14-Mar,10:30:30 AM,,,,1,,,,,
Missing,,,14-Mar,10:30:40 AM,,,,1,,,,,
Missing,,,14-Mar,10:30:49 AM,,,,,,,,1,
CONFIRMED,14,21,14-Mar,10:30:57 AM,,,,1,,,,,
Missing,,,14-Mar,10:31:01 AM,,,,,,,,1,
Missing,,,14-Mar,10:31:08 AM,,,,,,,,1,
Missing,,,14-Mar,10:31:24 AM,,,,,,,,1,
CONFIRMED,15,24,14-Mar,10:31:44 AM,,,,1,,,,,
Missing,,,14-Mar,10:31:50 AM,1,,,,,,,,
Missing,,,14-Mar,10:31:55 AM,,,,1,,,,,
Missing,,,14-Mar,10:32:03 AM,,,,1,,,,,
CONFIRMED,16,25,14-Mar,10:32:11 AM,,1,,,,,,,
Missing,,,14-Mar,10:34:30 AM,1,,,,,,,,
Missing,,,14-Mar,10:34:40 AM,,1,,,,,,,
Missing,,,14-Mar,10:35:05 AM,,,,1,,,,,
Missing,,,14-Mar,10:43:32 AM,1,,,,,,,,
Missing,,,14-Mar,10:43:39 AM,,1,,,,,,,
Missing,,,14-Mar,10:43:45 AM,,,,1,,,,,
Missing,,,14-Mar,10:48:12 AM,,,,1,,,,,
CONFIRMED,17-19,31,14-Mar,10:49:10 AM,1,,,,,,,,
Missing,,,14-Mar,10:49:54 AM,,,,1,,,,,
Missing,,,14-Mar,10:50:44 AM,1,,,,,,,,
Missing,,,14-Mar,10:50:52 AM,,1,,,,,,,
Missing,,,14-Mar,10:51:32 AM,,,,1,,,,,
CONFIRMED,20,37,14-Mar,10:51:43 AM,,,,1,,,,,
Missing,,,14-Mar,10:51:58 AM,,,,1,,,,,
FP,21,40,,10:53:15AM,,,,,,,,,
Missing,,,14-Mar,10:53:46 AM,1,,,,,,,,
Missing,,,14-Mar,10:53:55 AM,,,,1,,,,,
CONFIRMED,22,43,14-Mar,10:54:47 AM,,1,,,,,,,
Missing,,,14-Mar,10:55:16 AM,,,1,,,,,,
FP,23,46,,10:55:46 AM,,,,,,,,,
Missing,,,14-Mar,10:58:24 AM,1,,,,,,,,
Missing,,,14-Mar,10:58:33 AM,,,,1,,,,,
CONFIRMED,24,52,14-Mar,10:58:36 AM,1,,,,,,,,
Missing,,,14-Mar,10:59:34 AM,,1,,,,,,,
FP,25,54,,11:00:06 AM,,,,,,,,,
Missing,,,14-Mar,11:00:53 AM,,1,,,,,,,
Missing,,,14-Mar,11:01:25 AM,,,,,,1,,,
Missing,,,14-Mar,11:01:42 AM,,,,1,,,,,
CONFIRMED,26,55,14-Mar,11:01:45 AM,,1,,,,,,,
Missing,,,14-Mar,11:02:31 AM,,,1,,,,,,
Missing,,,14-Mar,11:03:54 AM,1,,,,,,,,
CONFIRMED,27,58,14-Mar,11:04:42 AM,,1,,,,,,,
Missing,,,14-Mar,11:04:53 AM,,,1,,,,,,
Missing,,,14-Mar,11:05:54 AM,1,,,,,,,,
Missing,,,14-Mar,11:06:29 AM,,1,,,,,,,
FP,28,59,,11:07:01 AM,,,,,,,,,
Missing,,,14-Mar,11:07:05 AM,,,,1,,,,,
Missing,,,14-Mar,11:07:19 AM,1,,,,,,,,
CONFIRMED,29,62,14-Mar,11:12:05 AM,,1,,,,,,,
CONFIRMED,30,63,14-Mar,11:15:40 AM,1,,,,,,,,
Missing,,,14-Mar,11:16:07 AM,,1,,,,,,,
Missing,,,14-Mar,11:16:27 AM,1,,,,,,,,
CONFIRMED,31,64,14-Mar,11:18:08 AM,1,,,,,,,,
CONFIRMED,32,65,14-Mar,11:23:42 AM,,,1,,,,,,
Missing,,,14-Mar,11:26:31 AM,1,,,,,,,,
Missing,,,14-Mar,11:31:09 AM,,,,,1 (50 seconds),,,,
Missing,,,14-Mar,11:32:05 AM,,1,,,,,,,
Missing,,,14-Mar,11:33:18 AM,,,,,1 (10 seconds),,,,
CONFIRMED,33-34,68,14-Mar,11:34:03 AM,,,,1,,,,,
CONFIRMED,35,69,14-Mar,11:37:03 AM,,,,,,1,,,
Missing,,,14-Mar,11:37:27 AM,,,,1,,,,,
Missing,,,14-Mar,11:37:40 AM,,,,,,,,1,
CONFIRMED,36,70,14-Mar,11:38:22 AM,,,,1,,,1,,two people walked outand someone passed by at the same time
Missing,,,14-Mar,11:38:34 AM,,,,1,,,,,
FP,37,71,,11:44:24 AM,,,,,,,,,
Missing,,,14-Mar,11:46:03 AM,,,,1,,,,,
FP,38-39,72,,11:57:48 AM,,,,,,,,,
Missing,,,14-Mar,11:58:04 AM,,,,1,,,,,
CONFIRMED,40,,14-Mar,11:58:52 AM,,,,1,,,,,Arwa goes to desk but doesnt completley pass by the camerea
Missing,,,14-Mar,11:59:49 AM,,,,1,,,,,
CONFIRMED,41,,14-Mar,12:00:03 PM,,1,,,,,,,
Missing,,,14-Mar,12:00:54 PM,,1,,,,,,,
Missing,,,14-Mar,12:01:05 PM,,,,,1,,,,nicole working on waldo
Missing,,,14-Mar,12:01:11 PM,1,,,,,,,,
Missing,,,14-Mar,12:01:20 PM,,,,,,,,1,
CONFIRMED,42,,14-Mar,12:01:26 PM,,,,,,,,1,
Missing,,,14-Mar,12:01:57 PM,,,,,,,,1,
Missing,,,14-Mar,12:02:05 PM,,1,,,,,,,
Missing,,,14-Mar,11:18:09 AM,1,,,,,,,,
Missing,,,14-Mar,11:23:49 AM,,,,1,,,,,
Missing,,,14-Mar,11:26:31 AM,1,,,,,,,,
Missing,,,14-Mar,11:31:11 AM,,,,,1,,,,Nicole standing in the doorway
Missing,,,14-Mar,11:32:06 AM,,1,,,,,,,
Missing,,,14-Mar,11:33:32 AM,,,1,,1,,,,Arwa standing close lingering nearby WALDO for a long period of time
Missing,,,14-Mar,11:43:03 AM,,,,1,,,,,
Missing,,,14-Mar,11:37:04 AM,,,,,,1,,,Two people walking in at the same time
Missing,,,14-Mar,11:37:27 AM,,,,1,,,,,
Missing,,,14-Mar,11:37:42 AM,,,,,,,,1,
Missing,,,14-Mar,11:38:27 AM,,,,,,,1,1,Two people walked out while multpile people passed by waldo
Missing,,,14-Mar,11:50:55 AM,,,,1,,,,,
Missing,,,14-Mar,11:59:52 AM,,,1,,,,,,
Missing,,,14-Mar,12:00:09 PM,,1,,,,,,,Dr. Sorber stopped in doorframe as he was walking out
Missing,,,14-Mar,12:00:54 PM,,1,,,,,,,
Missing,,,14-Mar,12:01:04 PM,1,,,,,,,,Nicole walked in and started to take parts of WALDO down
Missing,,,14-Mar,12:01:20 PM,,,,,,,,1,
Missing,,,14-Mar,12:01:26 PM,,,,,,,,1,
Missing,,,14-Mar,12:01:56 PM,,,1,,,,,,
Missing,,,14-Mar,12:02:05 PM,,1,,,,,,,
Missing,,,14-Mar,12:04:40 PM,1,,,,,,,,
Missing,,,14-Mar,12:04:48 PM,1,,,,,,,,there was a passby at the same time as the in
Missing,,,14-Mar,12:04:53 PM,,,,,1,,,,nicole standing at table in the corner
Missing,,,14-Mar,12:06:57 PM,1,,,,,,,,
Missing,,,14-Mar,12:07:37 PM,,,,1,,,,,
Missing,,,14-Mar,12:07:41 PM,,,,1,,,,,
Missing,,,14-Mar,12:07:50 PM,,,,1,,,,,
Missing,,,14-Mar,12:11:35 PM,,,,,1,,,,nicole standing in the door messing with waldo
Missing,,,14-Mar,12:11:50 PM,1,,,,,,,,
Missing,,,14-Mar,12:13:33 PM,,,,,1,,,,"nicole working on waldo, there was a passby far during this"
Missing,,,14-Mar,12:14:38 PM,1,,,,,,,,
Missing,,,14-Mar,12:14:46 PM,,,,1,,,,,
Missing,,,14-Mar,12:15:32 PM,,,,1,,,,,
Missing,,,14-Mar,12:16:24 PM,,1,,,,,,,
Missing,,,14-Mar,12:16:34 PM,,1,,,,,,,
Missing,,,14-Mar,12:16:48 PM,1,,,,,,,,
Missing,,,14-Mar,12:17:07 PM,,1,,,,,,,
Missing,,,14-Mar,12:17:39 PM,1,,,,,,,,
Missing,,,14-Mar,12:17:49 PM,,,,1,,,,,foot also in the camera on the in side of door
Missing,,,14-Mar,12:17:53 PM,,,1,,,,,,walked in doorway and then turned around 
Missing,,,14-Mar,12:20:37 PM,,,,1,,,,,
Missing,,,14-Mar,12:20:41 PM,,,,1,,,,,
Missing,,,14-Mar,12:21:04 PM,,,,,,,,,nicole rolling in chair at the table in the corner
Missing,,,14-Mar,12:22:23 PM,,,,1,,,,,passed by to sit in chair then sat in view of camera
Missing,,,14-Mar,12:22:37 PM,,,,,,,,,nicole sitting in chair near doorway working on something at the bale
Missing,,,14-Mar,12:23:21 PM,,,,1,,,,,
Missing,,,14-Mar,12:23:34 PM,,,,1,,,,,
Missing,,,14-Mar,12:23:55 PM,,,,1,,,,,nicole gets back into chair and sits in view of the camera
Missing,,,14-Mar,12:24:05 PM,,,,1,,,,,
Missing,,,14-Mar,12:24:54 PM,1,,,,,,,,
Missing,,,14-Mar,12:25:05 PM,,,1,,,,,,nicole rolls chair farther into view of camera
Missing,,,14-Mar,12:27:54 PM,,,1,,,,,,
Missing,,,14-Mar,12:28:00 PM,1,,,,,,,,
Missing,,,14-Mar,12:28:27 PM,,,,1,,,,,"Nicole sitting in chair in the corner through most of these videos, not sure if that affects what waldo sees"
Missing,,,14-Mar,12:29:52 PM,,1,,,,,,,
