LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,117,1900-03-14 15:23:25,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,118,1900-03-14 15:24:47,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,119,1900-03-14 15:25:38,0,0,0,1,0,0,0,0
CONFIRMED,1,3.0,32,118,1900-03-14 15:25:47,0,Valid,5,2,0,3,120,1900-03-14 15:25:44,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,121,1900-03-14 15:30:42,0,0,1,0,0,0,0,0
Null,0,,,,,,,,,,,122,1900-03-14 15:31:22,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,123,1900-03-14 15:31:33,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,124,1900-03-14 15:32:26,1,0,0,0,0,0,0,0
CONFIRMED,1,3.0,33,120,1900-03-14 15:34:31,1,Valid,5,5,0,0,125,1900-03-14 15:34:28,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,126,1900-03-14 15:35:56,0,0,0,0,1 (5 seconds),0,0,0
Null,0,,,,,,,,,,,127,1900-03-14 15:36:04,1,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,128,1900-03-14 15:37:30,0,0,0,1,0,0,0,0
CONFIRMED,1,1.0,34,122,1900-03-14 15:37:42,2,Valid,5,0,3,2,129,1900-03-14 15:37:41,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,130,1900-03-14 15:40:19,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,131,1900-03-14 15:42:38,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,132,1900-03-14 15:44:24,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,133,1900-03-14 15:47:29,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,134,1900-03-14 15:58:50,0,0,0,0,1(8 seconds),0,0,0
Null,0,,,,,,,,,,,135,1900-03-14 15:49:00,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,136,1900-03-14 15:49:12,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,137,1900-03-14 15:49:17,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,138,1900-03-14 15:50:24,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,139,1900-03-14 16:00:42,0,0,0,0,1 (25 seconds),0,0,0
Null,0,,,,,,,,,,,140,1900-03-14 16:01:09,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,141,1900-03-14 16:01:20,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,142,1900-03-14 16:04:11,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,143,1900-03-14 16:16:32,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,144,1900-03-14 16:17:31,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,145,1900-03-14 16:18:35,0,0,0,0,1 (25 seonds),0,0,0
Null,0,,,,,,,,,,,146,1900-03-14 16:19:00,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,147,1900-03-14 16:19:13,0,0,0,0,1 (35 seconds),0,0,0
Null,0,,,,,,,,,,,148,1900-03-14 16:19:25,0,0,0,0,0,0,1,0
CONFIRMED,3,1.0,37,133,1900-03-14 16:21:43,5,Valid,5,2,2,1,149,1900-03-14 16:21:42,0,0,0,0,0,0,1,0
Null,0,,,,,,,,,,,150,1900-03-14 16:38:21,0,0,0,0,1,0,0,0
FPpkt,2,,38,146,1900-03-14 16:41:43,6,Valid,5,2,1,2,,,,,,,,,,
FPpkt,1,,40,149,1900-03-14 16:43:30,8,Valid,5,2,2,1,,,,,,,,,,
Null,0,,,,,,,,,,,151,1900-03-14 19:32:34,0,0,0,0,1,0,0,0
Null,0,,,,,,,,,,,152,1900-03-14 19:37:28,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,153,1900-03-14 19:58:21,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,154,1900-03-14 19:58:33,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,155,1900-03-14 19:59:02,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,156,1900-03-14 19:59:15,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,157,1900-03-14 20:01:22,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,158,1900-03-14 20:01:35,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,159,1900-03-18 07:22:40,1,0,0,0,0,0,0,0
