12/8/22 6:52:00,GT,,Waldo,EnOcean,if match,if not match,if match,if not match,,,,,ins ,in  correct,in incorrect,,outs,out correct,out incorrect
12/12/22 8:10:55,out,jacob,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 8:11:43,in,jacob,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 8:12:44,out,jacob,pbout,miss,,,,nope,,miss,,,,,,,,,
12/12/22 8:17:08,in,jacob,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 8:55:36,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 8:58:35,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 9:02:36,out,two people walk out together,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 9:09:32,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 9:14:04,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 9:20:01,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 9:23:12,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 9:23:46,in,two people walk in together one right after the other,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 9:24:21,out/Linger,out/linger with one person and another joins to exit them going out,out/out,miss,,,,,,miss,,,,,,,,,
12/12/22 9:42:29,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 9:47:06,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 9:50:55,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 9:52:34,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 9:52:39,out/pbout,walked out to sweep then stopped,pbout,miss,,,,,,miss,,,,,,,,,
12/12/22 9:52:43,pbout/sweeping,"sweeping by the trash cans, body far, broom in view",pbout,miss,,,,,,miss,,,,,,,,,
12/12/22 9:54:15,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 9:55:26,out,,pbout,miss,,,,nope,,miss,,,,,,,,,
12/12/22 9:55:31,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 9:57:47,out/in,out for a second and back in,pbin,hit,,,,,,hit,,,,,,,,,
12/12/22 10:00:42,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 10:01:49,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 10:05:27,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 10:09:28,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 10:18:09,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 10:19:37,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 10:21:43,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 10:32:17,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 10:35:51,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 10:36:30,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 10:47:22,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 10:51:26,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 11:24:53,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 11:27:16,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 11:27:27,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 11:27:40,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 11:28:16,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 11:36:48,in,"janitor walking in slowly with a cart, about 6 seconds",in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 11:39:06,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 11:39:16,out,"janitor walking out slowly with a cart, about 6 seconds",out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 11:40:57,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 11:41:35,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 11:41:48,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 11:49:50,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 11:58:23,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 11:58:50,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 12:04:27,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 12:05:37,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 12:08:21,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 12:15:48,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 12:17:56,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 12:21:58,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 12:31:35,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 12:32:25,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 12:36:36,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 12:37:43,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 12:44:05,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 12:46:48,out,,pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 13:07:40,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 13:08:52,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 13:09:09,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 13:10:07,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 13:10:13,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 13:11:08,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 13:11:30,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 13:12:03,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 13:14:07,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 13:15:52,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 13:27:18,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 13:29:42,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 13:46:40,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 13:47:18,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 13:48:23,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 13:48:53,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 13:56:21,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 14:01:19,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 14:21:13,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 14:23:25,in,,in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 14:41:22,out,,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 14:46:21,in,"two people walk in in quick succession one after the other, almost together, about 3 seconds",in,hit,IN,,,,,hit,,,,,,,,,
12/12/22 14:46:34,out,"two people walk out together at the same time, about 3 seconds",out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 14:48:47,out,"two people walk out in quick succession one after the other, almost together, about 3 seconds",pbout,hit,,,,nope,,hit,,,,,,,,,
12/12/22 14:49:16,in,"two people walk in together at the same time, about 4 seconds",in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 14:49:32,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 14:50:00,out,,out,miss,,,OUT,,,miss,,,,,,,,,
12/12/22 15:03:55,out,Me going out while throwing something away,out,hit,,,OUT,,,hit,,,,,,,,,
12/12/22 15:04:08,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 15:04:15,out,,pbout,miss,,,,nope,,miss,,,,,,,,,
12/12/22 15:04:26,in,,in,miss,IN,,,,,miss,,,,,,,,,
12/12/22 15:20:08,out,,out,hit,,,OUT,,,hit,,,,,,,,,
