LabelType,Recover#,TimeDiff,BSidx,BSrecord#,DateTime,PktID,Validity,Total,Ins,Outs,Passbys,gtIdx,DateTime,gtIns,gtOuts,gtPb_near,gt_Pb_far,gtlinger,gtMultiIns,gtMultiOuts,gtMultiPbs
Null,0,,,,,,,,,,,110,1900-03-14 12:23:27,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,111,1900-03-14 12:23:34,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,112,1900-03-14 12:23:47,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,113,1900-03-14 12:26:22,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,114,1900-03-14 12:26:31,0,0,0,1,0,0,0,0
CONFIRMED,1,2.0,21,92,1900-03-14 12:26:33,58,Valid,5,2,3,0,115,1900-03-14 12:26:31,0,0,0,1,0,0,0,0
Null,0,,,,,,,,,,,116,1900-03-14 12:27:11,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,117,1900-03-14 12:27:35,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,118,1900-03-14 12:27:41,1,0,0,0,0,0,0,0
CONFIRMED,1,1.0,22,94,1900-03-14 12:29:51,59,Valid,5,2,3,0,119,1900-03-14 12:29:50,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,120,1900-03-14 12:29:53,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,121,1900-03-14 12:42:53,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,122,1900-03-14 12:45:33,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,123,1900-03-14 12:47:30,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,124,1900-03-14 12:50:13,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,125,1900-03-14 12:50:58,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,126,1900-03-14 12:51:23,0,0,0,0,0,1,0,0
Null,0,,,,,,,,,,,127,1900-03-14 13:06:38,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,128,1900-03-14 13:07:23,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,129,1900-03-14 13:12:28,0,1,0,0,0,0,0,0
Null,0,,,,,,,,,,,130,1900-03-14 13:15:48,1,0,0,0,0,0,0,0
Null,0,,,,,,,,,,,131,1900-03-14 13:16:48,0,1,0,0,0,0,0,0
